ASIN,itemID,clothesType
B000BWETQS,117,1
B000BX20TK,118,1
B000BXF0YM,119,2
B000C0GFWA,120,1
B000C0IHMG,121,1
B000C161GO,122,1
B000C1CX2U,123,1
B000C1VCPO,124,1
B000C2SKKI,125,1
B000C7759U,126,1
B000CAZVI4,127,1
B000CB02Q4,128,1
B000CB1KYC,129,1
B000CB1MOU,130,1
B000CB2TQU,131,1
B000CBEONG,132,1
B000CBQQ8C,133,1
B000CCOIE0,134,2
B000CCXC56,135,2
B000CCXC74,136,2
B000CCZN1C,137,2
B000CD1IW4,138,2
B000CD5NT8,139,1
B000CD8KWA,140,1
B000CEM5ZC,141,2
B000CEM63I,142,2
B000CEM6F6,143,2
B000CEME62,144,2
B000CEO82A,145,1
B000CEO8CK,146,2
B000CEO8MA,147,2
B000CEO8MU,148,2
B000CEQERM,149,2
B000CFLRJ6,150,1
B000CGP0SY,151,1
B000CMDDRI,152,1
B000CP327G,153,2
B000CR498A,154,2
B000CRCRU2,155,2
B000CREPIY,156,1
B000CSOFWY,157,1
B000E19A88,158,2
B000E288BM,159,1
B000E2F2VG,160,1
B000E2ZB5S,161,1
B000E35K6C,162,1
B000E3TXJ2,163,1
B000E3WA1A,164,1
B000E439YG,165,1
B000E5QHOO,166,1
B000E5QHX0,167,1
B000E60S2A,168,1
B000E6LD5Q,169,1
B000E75HB6,170,1
B000E75I8S,171,2
B000E75JQ4,172,2
B000E75JWI,173,1
B000E75JXM,174,1
B000E75JY6,175,1
B000E75JZ0,176,2
B000E77KT8,177,1
B000E78ZX8,178,1
B000E790BE,179,1
B000E791T0,180,1
B000E791Y0,181,1
B000E7N0T2,182,1
B000E7OQ68,183,1
B000E7XHUO,184,1
B000E83V4U,185,1
B000E84Z3Q,186,2
B000E8OL3K,187,1
B000E96VFA,188,1
B000E9BM54,189,1
B000EA1604,190,2
B000EAB13Q,191,1
B000EB885O,192,1
B000EBAMEO,193,1
B000EBHHO2,194,2
B000EBJQW8,195,1
B000EBJX9Y,196,2
B000EBLRB6,197,2
B000EBLRYS,198,2
B000EBNWKA,199,2
B000EBNXHW,200,1
B000EBO3DA,201,2
B000EBO6SC,202,2
B000EDK0A8,203,2
B000EEX4FA,204,1
B000EFLQBI,205,1
B000EG6CXY,206,1
B000EG6CY8,207,1
B000EGRFKI,208,1
B000EHN7V8,209,1
B000EHNE7K,210,1
B000EHNG5A,211,1
B000EHNH40,212,1
B000EIL39K,213,1
B000EJEOU4,214,2
B000EJZ462,215,1
B000ELGJSM,216,1
B000ELT1VE,217,1
B000EMKAZO,218,1
B000EMUBWQ,219,1
B000EMUGTY,220,1
B000ENALBQ,221,2
B000ENPNIW,222,1
B000EOMYMY,223,1
B000EOQDEY,224,1
B000EOVELG,225,1
B000EOXMAM,226,1
B000ESLCSM,227,1
B000EW9ZB4,228,1
B000EXOXY2,229,1
B000EXPYJA,230,1
B000EXS4AG,231,1
B000EZT6TW,232,2
B000EZTXTK,233,2
B000EZTZKW,234,2
B000EZVV0E,235,2
B000F0G8LK,236,1
B000F260CK,237,1
B000F26NWM,238,2
B000F29N8S,239,2
B000F2SFZA,240,1
B000F49R5A,241,1
B000F5ID7M,242,1
B000F5IDCC,243,1
B000F5IG7O,244,1
B000F5LVS0,245,1
B000F5R0AI,246,1
B000F6VAKI,247,1
B000F729CU,248,1
B000F7BAVG,249,1
B000F7HZI8,250,2
B000F7OQ30,251,1
B000F8XJG4,252,2
B000F99G38,253,1
B000FAFRD0,254,2
B000FBK3II,255,1
B000FBUZ5O,256,1
B000FCAUDU,257,1
B000FCBMW8,258,1
B000FD03GI,259,1
B000FDC6PO,260,2
B000FDC92O,261,2
B000FDU9GM,262,2
B000FDW6JU,263,1
B000FDYHYW,264,1
B000FDYJ04,265,1
B000FE0DT4,266,1
B000FIDSZQ,267,2
B000FIEHII,268,1
B000FIJ4TA,269,1
B000FIJ6R0,270,1
B000FISWP2,271,1
B000FJ9CLO,272,1
B000FJ9E6M,273,1
B000FJ9WYQ,274,1
B000FJ9WZU,275,1
B000FJOZDO,276,1
B000FJQNS4,277,1
B000FJQNSE,278,1
B000FJTZ8Y,279,1
B000FK5TS8,280,1
B000FK7OYU,281,1
B000FK7ZGM,282,1
B000FK94K2,283,2
B000FKBLGW,284,1
B000FKD7TG,285,1
B000FKTMC2,286,1
B000FLD4AC,287,1
B000FMMOVQ,288,1
B000FNCXDY,289,1
B000FNCXXE,290,1
B000FNF20A,291,1
B000FNGVV4,292,1
B000FNKU84,293,1
B000FNQI8K,294,1
B000FPBVNA,295,1
B000FPBVPS,296,1
B000FPBXCE,297,1
B000FPBYQO,298,2
B000FPD0P2,299,1
B000FPFB68,300,2
B000FPMKQW,301,1
B000FQ0U7W,302,1
B000FQ0UMC,303,1
B000FQ9BQ8,304,1
B000FSA51G,305,1
B000FSEE18,306,2
B000FSY9TA,307,1
B000FTH9QO,308,1
B000FTIR6U,309,1
B000FTNXO6,310,1
B000FTO9ZI,311,1
B000FTOALQ,312,1
B000FTP77W,313,1
B000FTRLXU,314,1
B000FTTGFG,315,1
B000FTUB0K,316,1
B000FTYQB0,317,1
B000FU0Z3C,318,1
B000FV46AE,319,1
B000FXSTAA,320,2
B000FXSTFK,321,2
B000FXSZVI,322,1
B000FXUU7A,323,2
B000FXUULG,324,2
B000FXV1RS,325,1
B000FXW3R0,326,2
B000FXW47O,327,2
B000FXW4XI,328,2
B000FXW514,329,2
B000FYN418,330,1
B000FYOGQK,331,1
B000FYTOO4,332,1
B000FYXS9Q,333,1
B000FYXXZK,334,2
B000FZ1GHQ,335,1
B000FZVLLC,336,1
B000FZVM34,337,1
B000FZYX1W,338,1
B000G00XV0,339,1
B000G0QP62,340,2
B000G0QQF2,341,2
B000G0U9FK,342,2
B000G1MOIE,343,1
B000G23QFS,344,1
B000G260UQ,345,1
B000G261RI,346,1
B000G26ZEW,347,1
B000G2DU36,348,1
B000G2DUJ0,349,1
B000G2FODU,350,1
B000G2HQ86,351,1
B000G2JNGO,352,1
B000G2JQAW,353,1
B000G2L3EY,354,1
B000G32XFG,355,1
B000G3RESC,356,1
B000G77Z1Y,357,1
B000G7BCRW,358,1
B000G7BHAO,359,1
B000G7BTRU,360,1
B000G7COJM,361,1
B000G7IUYA,362,1
B000G7VSH6,363,1
B000GA4ERY,364,2
B000GA5YPK,365,1
B000GA5YQY,366,1
B000GA5YRS,367,2
B000GA7ZY8,368,1
B000GA91A4,369,1
B000GA97JO,370,1
B000GA9P3W,371,1
B000GA9P9Q,372,1
B000GACPHA,373,2
B000GBAFNA,374,2
B000GBI2A8,375,1
B000GBIOWO,376,1
B000GBK3DC,377,1
B000GBLN9K,378,1
B000GBN1SQ,379,1
B000GC68O4,380,1
B000GD3TQS,381,2
B000GD5EE8,382,2
B000GD8V7A,383,2
B000GDGQFY,384,1
B000GDXNV4,385,2
B000GE5LAO,386,1
B000GE7U1W,387,1
B000GEB3CY,388,1
B000GEBXJC,389,1
B000GEW9B8,390,1
B000GEW9RM,391,1
B000GEZWJY,392,1
B000GFCRFK,393,1
B000GFCRT6,394,1
B000GFCZHA,395,1
B000GFGPEY,396,1
B000GFGSNC,397,1
B000GFGUJY,398,1
B000GFGULM,399,1
B000GFGUMG,400,1
B000GFIHBI,401,1
B000GFOIKM,402,1
B000GGQDN6,403,1
B000GGVEM6,404,1
B000GHDOS2,405,1
B000GHMQWW,406,2
B000GHMRFI,407,2
B000GHULS8,408,1
B000GJKKJQ,409,1
B000GJKWP8,410,1
B000GJKWS0,411,1
B000GJMYTK,412,1
B000GJMZ6M,413,1
B000GKDJ02,414,1
B000GOJPO2,415,1
B000GOSLJW,416,1
B000GOSLKG,417,1
B000GR3FBS,418,1
B000GRTCYW,419,2
B000GRTI9G,420,2
B000GUU18K,421,1
B000GUVFDA,422,1
B000GUZFFE,423,1
B000GUZFKO,424,1
B000GUZFR2,425,1
B000GVYBXK,426,1
B000H0SVCW,427,1
B000H0UO86,428,1
B000H0WPVK,429,1
B000H324C2,430,1
B000H334P8,431,1
B000H4U3U6,432,1
B000H6A8TU,433,1
B000H6DKP4,434,2
B000H6DKTK,435,2
B000H6DL62,436,2
B000H6JHLK,437,1
B000H6XGS0,438,1
B000H6XGX0,439,1
B000H7NVAC,440,1
B000HAU25G,441,1
B000HAVKOS,442,1
B000HGP5JS,443,2
B000HJPDKQ,444,1
B000HJXKDS,445,1
B000HKFSGO,446,1
B000HKHYS4,447,1
B000HT6F5S,448,2
B000HT6FC6,449,2
B000HT6G5M,450,2
B000HTEJCO,451,2
B000HTELV8,452,2
B000HTIR9A,453,2
B000HTJE8I,454,2
B000HTLI0U,455,2
B000HTLM4C,456,2
B000HTNGU0,457,2
B000HTNGVY,458,2
B000HTPHHK,459,2
B000HTPHTI,460,2
B000HU8L9K,461,2
B000HVZCA0,462,2
B000HX39V2,463,1
B000HX6I7Y,464,1
B000HX79R2,465,1
B000HX807K,466,1
B000HX80HU,467,1
B000I036AI,468,1
B000I0O4F4,469,2
B000I25SWU,470,2
B000I2T7JK,471,1
B000I2WLZM,472,1
B000I2Y16Y,473,1
B000I4X1TU,474,1
B000I6Q168,475,1
B000I7GAH2,476,1
B000I7HQ7U,477,1
B000I7KVY0,478,1
B000I7OUQ0,479,1
B000I7YR4K,480,1
B000I86ABC,481,1
B000IASX9C,482,1
B000IAWVW2,483,1
B000IAWW12,484,1
B000IBF4FC,485,1
B000IBFDR6,486,1
B000IBGXR0,487,1
B000IBKTGG,488,1
B000IBKUFG,489,1
B000IBKUT2,490,1
B000IE994Q,491,1
B000IEK1B6,492,1
B000IF3VDK,493,1
B000IG2HWK,494,1
B000II56O4,495,1
B000IIDB3C,496,1
B000IIF3PG,497,1
B000IM19T6,498,1
B000IM26F2,499,1
B000IM409M,500,1
B000IMY344,501,1
B000IN9ML2,502,1
B000IN9MLC,503,1
B000IN9MM6,504,1
B000INNBYQ,505,2
B000INP1K8,506,2
B000IO8RTE,507,1
B000IOH0J2,508,1
B000IR11XA,509,1
B000IZQH0E,510,1
B000IZRWVW,511,1
B000IZTT0Y,512,1
B000J2M5WA,513,1
B000J36GLU,514,1
B000J41P1U,515,2
B000J438VU,516,2
B000J44NLY,517,1
B000J46SNA,518,1
B000J47EBA,519,1
B000J4FHDC,520,1
B000J4FHF0,521,1
B000J4GJ8E,522,1
B000J4J3JQ,523,1
B000J4JYEA,524,1
B000J4MM4O,525,1
B000J6ZYL0,526,2
B000J9YQPM,527,2
B000JBZ686,528,2
B000JC0YJQ,529,2
B000JFDBTS,530,1
B000JFHW66,531,1
B000JI4POK,532,1
B000JLCJIQ,533,1
B000JLIYE4,534,1
B000JLJZNI,535,1
B000JTCT3S,536,1
B000JTEO3G,537,1
B000JUERTG,538,1
B000JWHZWU,539,1
B000JWVPYO,540,1
B000K2JMTI,541,1
B000KAYR5E,542,2
B000KAYR8G,543,2
B000KB0VJO,544,2
B000KB0W34,545,2
B000KB315A,546,2
B000KBLALC,547,1
B000KBNFH4,548,1
B000KBPHU2,549,1
B000KD1YYI,550,1
B000KD24EC,551,1
B000KD3X42,552,1
B000KE190G,553,1
B000KEKBQY,554,1
B000KESI9G,555,1
B000KF7NPK,556,1
B000KFYU24,557,1
B000KGKBIA,558,2
B000KGKBOO,559,1
B000KGMHAA,560,1
B000KGMHBY,561,1
B000KGMHFU,562,1
B000KGOKCI,563,1
B000KGOKDW,564,2
B000KGOKLE,565,1
B000KHDKNM,566,1
B000KHDLKO,567,1
B000KHRQDM,568,1
B000KJ9F2A,569,1
B000KJRIT2,570,1
B000KJRXJW,571,2
B000KJVSA2,572,2
B000KK0OII,573,1
B000KK0OOM,574,1
B000KK2NC8,575,1
B000KLV1CA,576,1
B000KLW7GO,577,2
B000KM2D0S,578,1
B000KM4FFE,579,1
B000KMCCVI,580,1
B000KMCX8U,581,1
B000KMGJ6C,582,1
B000KPQTPU,583,1
B000KV5STW,584,1
B000KVU8MY,585,1
B000KW7C0E,586,1
B000KWQ5MU,587,1
B000KWY66W,588,1
B000KX1DKI,589,1
B000KXYUB2,590,2
B000KY4048,591,1
B000KY552Y,592,2
B000KY6KYG,593,1
B000KY7X4M,594,1
B000KYFR1S,595,1
B000KYIPB2,596,1
B000L3R52C,597,1
B000LF645E,598,1
B000LGILA4,599,1
B000LGKHCE,600,1
B000LMLFO2,601,1
B000LMWILG,602,1
B000LN1TF6,603,1
B000LN407K,604,1
B000LNCA9A,605,2
B000LNE9R6,606,2
B000LQU2XS,607,1
B000LRCDM0,608,1
B000LSOLBA,609,2
B000LSOMKA,610,2
B000LSON7M,611,2
B000LSOQ9W,612,1
B000LUV3NW,613,1
B000LWC5LY,614,1
B000M12Z28,615,1
B000M1AKWA,616,1
B000M21H2Q,617,1
B000M300MS,618,1
B000M34H3Q,619,1
B000M4KTG4,620,2
B000M4LQVQ,621,1
B000M5IXSE,622,1
B000M5O432,623,1
B000M5OUAO,624,1
B000M8T8US,625,1
B000M9JHW6,626,1
B000M9N0H4,627,1
B000M9O4PG,628,1
B000MF68X6,629,2
B000MF94AK,630,1
B000MN6HDY,631,1
B000MN8E7G,632,1
B000MN8ODU,633,2
B000MN8OR6,634,2
B000MN9K42,635,1
B000MN9KCE,636,1
B000MNBN60,637,1
B000MRG8H0,638,1
B000MRG92O,639,1
B000MRHY46,640,1
B000MS1M84,641,1
B000MV6BIC,642,1
B000MVEZF8,643,1
B000MVJ95Y,644,1
B000MVJ9LI,645,1
B000MVKZ5W,646,1
B000MXKMIU,647,2
B000MXKMJE,648,2
B000MXKMKS,649,2
B000N256LS,650,1
B000N3Q72O,651,2
B000N3X9EI,652,2
B000N4U02Q,653,1
B000N5K61K,654,1
B000N6K2E0,655,1
B000N8Q4TK,656,2
B000N8Q5DU,657,1
B000N8Q5JE,658,2
B000N8RX40,659,1
B000N8RX7M,660,1
B000N8S0Y2,661,2
B000N8THMQ,662,1
B000N8TJP6,663,2
B000N9E2WA,664,1
B000N9P2VK,665,1
B000N9RXH6,666,1
B000NBDSEQ,667,1
B000NBLYWO,668,1
B000NC0K82,669,1
B000NDDB1O,670,1
B000NDMXZE,671,1
B000NFAPR0,672,1
B000NFAPT8,673,1
B000NFCFE6,674,1
B000NFCFW8,675,1
B000NJGSWW,676,1
B000NJGSXQ,677,1
B000NN4N98,678,1
B000NO5P8K,679,1
B000NPL7TK,680,2
B000NVUXOO,681,1
B000NVUXTE,682,1
B000NVUY7K,683,2
B000NVVIUM,684,1
B000NVVLKY,685,1
B000NVWYVE,686,1
B000NVWZ18,687,1
B000NWJMP4,688,2
B000NWKPAU,689,2
B000NWL20C,690,1
B000NWLLC6,691,2
B000NWN4QM,692,1
B000NX376S,693,1
B000NX38LM,694,1
B000NZ8X42,695,1
B000NZSV8A,696,1
B000NZW3KC,697,1
B000NZXMS4,698,2
B000O1F67C,699,1
B000O3KW0G,700,1
B000O3P576,701,1
B000O3RF06,702,1
B000O5EY6W,703,1
B000O5I4RW,704,1
B000O5ID5K,705,1
B000O5K8LC,706,1
B000O6XHHS,707,2
B000O9HI98,708,1
B000OB75YE,709,1
B000OBRMFQ,710,1
B000OBRMJM,711,1
B000OBRMM4,712,1
B000OBRQ7U,713,1
B000OBRTSG,714,1
B000OBS7C8,715,1
B000OBSFOI,716,1
B000OBSH0A,717,1
B000OBSYPI,718,1
B000OBV1GM,719,1
B000OBWYWC,720,1
B000OBXAZ2,721,2
B000OBXB0Q,722,2
B000OEZPHA,723,2
B000OL8XJA,724,1
B000OLEH9U,725,1
B000OLKI2A,726,2
B000OM1YP4,727,1
B000OM3WSQ,728,1
B000OM8XJ4,729,1
B000OQSXTA,730,1
B000OZSWHO,731,1
B000OZSWOM,732,1
B000P20ZC6,733,1
B000P2844M,734,1
B000P4KYJS,735,1
B000P4RXZ6,736,1
B000P4S6RU,737,1
B000P4U9Z2,738,1
B000P5529Y,739,1
B000P57KWG,740,1
B000P5RYHM,741,2
B000P6EQCC,742,1
B000P6IKDI,743,1
B000P6PI1U,744,2
B000P78J9M,745,1
B000P7RIR6,746,1
B000P7Y9SC,747,1
B000PBFB12,748,2
B000PBFBKI,749,2
B000PBHCLO,750,2
B000PBJ4ZQ,751,2
B000PHG4D0,752,1
B000PHG4L2,753,1
B000PHI5L4,754,1
B000PI07S2,755,1
B000PID7X4,756,1
B000PJEUH0,757,1
B000PSN37Y,758,1
B000PX0Z4I,759,1
B000PYDEQS,760,1
B000PYDEXQ,761,1
B000PYER2S,762,1
B000PYF0CO,763,1
B000PYGSPC,764,1
B000PYH43W,765,1
B000PYH7RU,766,1
B000PYIIOG,767,1
B000PYM8WY,768,1
B000Q53KRE,769,1
B000Q54AFK,770,1
B000Q72HPI,771,1
B000Q72J4W,772,1
B000Q8ODJU,773,1
B000Q8SC9M,774,1
B000QU69FY,775,2
B000QUZSXS,776,1
B000RK84H4,777,2
B000RKA62K,778,2
B000RL4NPK,779,1
B000RLJPPS,780,1
B000RLJR9C,781,1
B000RLJVOS,782,1
B000RLK30Y,783,1
B000RLOU8U,784,1
B000RLP2I2,785,1
B000RLVMJU,786,1
B000RYYB36,787,1
B000RZ1J2G,788,1
B000RZ2G96,789,1
B000RZ4Z2M,790,1
B000RZRRNG,791,1
B000RZTHAC,792,1
B000S0DHEI,793,1
B000S0QH7M,794,2
B000S0T95E,795,2
B000S6K5RY,796,1
B000SDRLO2,797,1
B000SDV8NC,798,1
B000SDX8CG,799,1
B000SRV7EI,800,1
B000SSD9LQ,801,1
B000STB8GS,802,1
B000STCFRE,803,1
B000STSVYU,804,1
B000SWWQV6,805,1
B000SXEG5Y,806,1
B000SZWAN2,807,2
B000SZYOJU,808,1
B000TJI4SW,809,1
B000TJKIL8,810,1
B000TJP2OG,811,1
B000TPFU2Y,812,1
B000TPI06M,813,1
B000TPJYCQ,814,1
B000TQ890I,815,1
B000TQUP4G,816,1
B000TRKBOY,817,1
B000TRKBVC,818,1
B000TTKM8M,819,1
B000TTMLTA,820,1
B000TTNDKG,821,1
B000TYT49U,822,1
B000TZXMXS,823,1
B000U0MZJ4,824,1
B000U0N3G8,825,1
B000U0P2FS,826,1
B000U0QKHW,827,1
B000U0SSPY,828,1
B000U0T4N4,829,1
B000U6GZUS,830,1
B000U7U7II,831,1
B000U7XHB2,832,1
B000U84Y6S,833,1
B000U8AR9Q,834,1
B000U8CHRG,835,2
B000UB5QC6,836,1
B000UGV48G,837,1
B000UGVFA8,838,1
B000UH0S00,839,1
B000UJGNGG,840,2
B000UJXG98,841,1
B000UJZAA6,842,2
B000UOER1E,843,2
B000UOJT6C,844,2
B000UOKVQY,845,2
B000UPZK50,846,1
B000URUN0A,847,1
B000USSUIG,848,1
B000UU338G,849,2
B000UU8LWY,850,2
B000UUE9GQ,851,1
B000UUE9KC,852,1
B000UUEE3Y,853,1
B000UUI7UK,854,1
B000UUSBLA,855,1
B000UUSC3C,856,1
B000UV7SHC,857,1
B000UV7V06,858,1
B000UVDBPK,859,1
B000UVPUYU,860,1
B000UVSUII,861,1
B000UVZPBI,862,1
B000UWEY50,863,1
B000UWHZMY,864,1
B000UWN78A,865,1
B000UWOKEA,866,1
B000UXA2HS,867,1
B000UZ8NPO,868,1
B000UZCRPG,869,1
B000UZJSNU,870,1
B000UZVD3S,871,1
B000V05P90,872,1
B000V3ZDSU,873,1
B000V4Q5TK,874,1
B000V4VJFA,875,1
B000V4VKWM,876,1
B000V4X3UO,877,1
B000V5B7WY,878,1
B000V5D7GS,879,1
B000V5MAUW,880,2
B000V5O5V4,881,1
B000V5PNC4,882,2
B000V6WK0G,883,1
B000V6WP9M,884,2
B000V6WPFG,885,2
B000V7RJVU,886,1
B000V8BGJU,887,1
B000V9KM30,888,1
B000V9YE02,889,1
B000VA2AD4,890,1
B000VAUI4M,891,1
B000VC11RI,892,1
B000VCWJRE,893,1
B000VL29TI,894,1
B000VRACKA,895,1
B000VS8VGQ,896,1
B000VS9TJ4,897,1
B000VS9ZPW,898,2
B000VSBOO2,899,1
B000VSBRUS,900,1
B000VSBSW0,901,2
B000VSDPXU,902,2
B000VSHLSK,903,1
B000VSXXNC,904,1
B000VSYO9E,905,1
B000VTBII8,906,1
B000VTFUBE,907,1
B000VTGIXS,908,1
B000VTMHFG,909,1
B000VVVCBO,910,1
B000VVVMSW,911,1
B000VVVN1S,912,1
B000VWPN5O,913,2
B000VY9PU6,914,1
B000VYBTSM,915,1
B000VZK3X8,916,1
B000VZK630,917,1
B000VZMC1E,918,1
B000VZQYZE,919,1
B000VZQZ3K,920,1
B000W119NO,921,1
B000W11C6I,922,1
B000W11MTK,923,1
B000W11O0W,924,1
B000WCXNNW,925,1
B000WD35F2,926,1
B000WNLILA,927,1
B000WNNGOC,928,1
B000WOWXE0,929,1
B000X7T7KY,930,1
B000X91E7G,931,1
B000X9CWUO,932,1
B000XMOQSM,933,1
B000XMOQT6,934,1
B000XMRUFS,935,1
B000XMRXD2,936,1
B000XVO7E6,937,2
B000XVT6SS,938,2
B000XXKNZG,939,1
B000XZQKNS,940,1
B000XZTJH2,941,1
B000XZVFDS,942,1
B000Y0QTK6,943,1
B000YHNE7A,944,1
B000YXJFWW,945,1
B000YXK43G,946,1
B000YXL9QC,947,1
B000YXLBG0,948,1
B000YXPLY8,949,1
B000Z3P12E,950,2
B000Z8BNNA,951,1
B000Z8BO5M,952,1
B000ZBHKAW,953,2
B000ZBMOGM,954,2
B000ZFRJLI,955,1
B000ZH9RKM,956,2
B000ZH9T6Y,957,1
B000ZHDIHK,958,2
B000ZHE51S,959,1
B000ZN968Y,960,1
B000ZPQY5A,961,1
B000ZYOJQW,962,1
B000ZZXVS8,963,1
B001GMAQVE,964,1
B001GMAR0O,965,1
B001GMAR2C,966,1
B001GMAUF6,967,2
B001GQ1S6W,968,1
B001GQ1SJE,969,1
B001GQ1VE6,970,1
B001GQ1VV4,971,1
B001GQ1VVE,972,1
B001GQ1W9K,973,1
B001GQ1WQS,974,1
B001GQ1WS6,975,1
B001GU0RDI,976,1
B001GUM8WG,977,2
B001GURA92,978,1
B001GVIOXM,979,1
B001GVIP18,980,1
B001GVIP8Q,981,1
B001GVIPA4,982,1
B001GVIPO0,983,2
B001GVIPRC,984,2
B001GVZP16,985,1
B001GW3Y7M,986,1
B001H0EPLM,987,1
B001H0F20U,988,1
B001H0F2I2,989,1
B001H0F3C2,990,1
B001H0F3OK,991,1
B001H0F42G,992,2
B001H0F71E,993,2
B001I90CD2,994,1
B001II5JN6,995,1
B001IWDDYO,996,1
B001IWODBQ,997,1
B001IYAGH4,998,2
B001J1T9HY,999,1
B001JJBEG0,1000,2
B001JJBEHY,1001,2
B001JJBET2,1002,2
B001JJBFCS,1003,1
B001JJBFGY,1004,1
B001JJBFQY,1005,1
B001JJBG5O,1006,1
B001JP5HH6,1007,1
B001JP5IBG,1008,1
B001KU612A,1009,1
B001L9C3M2,1010,1
B001L9C3RC,1011,1
B001L9CP8O,1012,1
B001L9DPEM,1013,1
B001L9HH5A,1014,1
B001L9HH6O,1015,1
B001LNIKUW,1016,1
B001LNLCMK,1017,1
B001LNLEU0,1018,1
B001LNLL8K,1019,1
B001LNN57K,1020,1
B001LNO6IC,1021,1
B001LNO6QE,1022,1
B001LNSKT8,1023,1
B001M0MYCE,1024,1
B001M0MYPG,1025,1
B001MDC372,1026,1
B001MDD8R6,1027,1
B001MDDDOY,1028,1
B001NKW93M,1029,1
B001NLX7JQ,1030,1
B001NN47YS,1031,2
B001NPD5LM,1032,2
B001NPD6PM,1033,1
B001V8NRZK,1034,1
B001V8YMOA,1035,1
B002A9K1U8,1036,2
B002A9K29S,1037,2
B002ACP8SA,1038,2
B002ACP9DY,1039,2
B002ACPDV2,1040,2
B002AK1MQY,1041,1
B002APTA9K,1042,2
B002APTBQM,1043,2
B002APVF70,1044,2
B002APVG9M,1045,2
B002AQRL0Y,1046,1
B002B80GDK,1047,1
B002B82UY8,1048,1
B002B8A2FC,1049,1
B002BCEJ8O,1050,1
B002BWQN5G,1051,1
B002CNZWDS,1052,1
B002FTNYVQ,1053,1
B002HEX14E,1054,2
B002HEX1F8,1055,2
B002HRF81A,1056,1
B002HRF8HY,1057,1
B002HRFDWO,1058,1
B002I9ZDYO,1059,1
B002I9ZF0Q,1060,1
B002IFT5EC,1061,1
B002JEBM8E,1062,1
B002KHNEXG,1063,1
B002LSI2WW,1064,2
B002LSI38K,1065,2
B002LSI3CG,1066,2
B002MI73I0,1067,1
B002MJV7EA,1068,1
B002N8JNFU,1069,1
B002NL7T2G,1070,1
B002NPCHC4,1071,1
B002ONC40U,1072,1
B002OOZGP4,1073,1
B002Q4U7XS,1074,1
B002Q4UB48,1075,1
B002Q4UTTU,1076,1
B002QGTDCC,1077,1
B00A01NE84,1078,1
B00A0AGBIA,1079,1
B00A0AGG1M,1080,1
B00A0AGI7Y,1081,1
